id,name,category,school_id,riasec_code,heat,employment_rate,intro,core_courses,career_paths,industry_outlook,suits
A248_2b1ae875,机械类,工学,A248,RI,50.0,0.85,,,,,
A248_467889d1,工科试验班类,工学,A248,RI,50.0,0.85,,,,,
A248_341b289c,法学试验班,法学,A248,SE,50.0,0.85,,,,,
A248_7a9afe76,金融学,经济学,A248,IE,50.0,0.85,,,,,
A248_5d83c82b,理科试验班类,工学,A248,RI,50.0,0.85,,,,,
A248_f0426fa0,经济管理试验班,经济学,A248,IE,50.0,0.85,,,,,
A248_eba295c9,核工程与核技术,工学,A248,RI,50.0,0.85,,,,,
A248_56b3d2b3,自然科学试验班,理学,A248,IR,50.0,0.85,,,,,
A248_9db48bf8,自然保护与环境生态类,工学,A248,RI,50.0,0.85,,,,,
H248_5f2ebb4c,临床医学,医学,H248,IS,50.0,0.85,,,,,
H248_828aa800,口腔医学,医学,H248,IS,50.0,0.85,,,,,
H248_92a83df2,医学试验班,医学,H248,IS,50.0,0.85,,,,,
C497_2d73bd5f,城市轨道车辆应用技术,工学,C497,RI,50.0,0.85,,,,,
C497_ff53c71e,城市轨道交通工程技术,工学,C497,RI,50.0,0.85,,,,,
C497_0a373533,城市轨道交通供配电技术,工学,C497,RI,50.0,0.85,,,,,
C497_f2d34b34,国际商务,工学,C497,RI,50.0,0.85,,,,,
C497_d1517b39,智能机电技术,工学,C497,RI,50.0,0.85,,,,,
C497_74d8d28f,轮机工程技术,工学,C497,RI,50.0,0.85,,,,,
C497_69b2c5f6,新能源汽车技术,工学,C497,RI,50.0,0.85,,,,,
C497_224a8a93,港口机械与智能控制,工学,C497,RI,50.0,0.85,,,,,
C497_9f6cf7c7,集装箱运输管理,管理学,C497,EC,50.0,0.85,,,,,
C497_91598c60,智能网联汽车技术,工学,C497,RI,50.0,0.85,,,,,
C497_3c41f8eb,汽车技术服务与营销,工学,C497,RI,50.0,0.85,,,,,
A277_931c1a66,新闻学,文学,A277,AS,50.0,0.85,,,,,
A277_e9eadee8,工商管理类,管理学,A277,EC,50.0,0.85,,,,,
A277_afe1eaff,数据科学与大数据技术,理学,A277,IR,50.0,0.85,,,,,
A277_011e5f38,医学技术类,医学,A277,IS,50.0,0.85,,,,,
A277_aa3f7342,英语,文学,A277,AS,50.0,0.85,,,,,
A277_2786b759,应用心理学,理学,A277,IR,50.0,0.85,,,,,
A262_5f2ebb4c,临床医学,医学,A262,IS,50.0,0.85,,,,,
A262_d44b7b1d,医疗产品管理,管理学,A262,EC,50.0,0.85,,,,,
A262_afe1eaff,数据科学与大数据技术,理学,A262,IR,50.0,0.85,,,,,
A262_47b6ba6a,公共事业管理,管理学,A262,EC,50.0,0.85,,,,,
A262_9a7e9795,健康服务与管理,管理学,A262,EC,50.0,0.85,,,,,
A262_45ed4d08,护理学,医学,A262,IS,50.0,0.85,,,,,
A262_c2dd0187,口腔医学技术,医学,A262,IS,50.0,0.85,,,,,
A262_229bee39,医学检验技术,医学,A262,IS,50.0,0.85,,,,,
